Timestamp,Station,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
2024-01-01,Anand Vihar,199.56,335.12,56.29,1.6,17.08,302.38900634249467
2024-01-01,Mandir Marg,177.67,284.38,46.54,0.59,4.35,279.24947145877377
2024-01-01,Sonia_Vihar,175.49,273.6,15.9,1.19,12.5,276.94503171247356
2024-01-01,ITO,167.55,245.29,15.86,1.01,17.95,268.55179704016916
2024-01-01,Vivek_vihar,195.54,336.04,20.72,0.95,2.4,298.1395348837209
2024-01-01,Ashok_Vihar,182.54,320.04,24.96,0.97,3.0,284.39746300211414
2024-01-01,Patparganj,186.73,336.17,41.91,0.75,15.96,288.8266384778012
2024-01-02,Patparganj,193.67,346.95,44.13,0.8,14.15,296.1627906976744
2024-01-02,ITO,171.36,243.84,18.87,1.17,39.83,272.5792811839324
2024-01-02,Mandir Marg,166.63,273.08,47.33,0.63,4.51,267.5792811839323
2024-01-02,Anand Vihar,195.91,320.67,62.58,1.77,17.98,298.5306553911205
2024-01-02,Sonia_Vihar,165.38,274.13,15.05,1.23,12.57,266.25792811839324
2024-01-02,Ashok_Vihar,172.09,297.51,26.99,1.08,3.23,273.35095137420717
2024-01-02,Vivek_vihar,185.09,313.51,22.07,0.76,2.97,287.09302325581393
2024-01-03,Mandir Marg,179.15,272.59,47.96,0.61,4.04,280.8139534883721
2024-01-03,Anand Vihar,247.44,360.37,71.08,2.18,15.52,353.0021141649048
2024-01-03,Sonia_Vihar,185.92,278.94,14.5,1.6,8.07,287.9704016913319
2024-01-03,Vivek_vihar,187.98,344.21,24.17,1.64,2.04,290.14799154334037
2024-01-03,Ashok_Vihar,174.98,328.21,39.31,1.66,4.19,276.4059196617336
2024-01-03,Patparganj,222.98,402.27,46.28,1.26,20.15,327.1458773784355
2024-01-03,ITO,190.08,246.87,20.31,1.59,18.77,292.3678646934461
2024-01-04,Mandir Marg,219.97,337.91,46.84,1.12,1.51,323.9640591966173
2024-01-04,Anand Vihar,274.06,436.22,71.07,1.86,14.38,381.1416490486258
2024-01-04,ITO,208.13,281.76,19.48,1.35,15.9,311.44820295983084
2024-01-04,Sonia_Vihar,224.7,355.33,26.85,1.48,3.98,328.9640591966173
2024-01-04,Patparganj,252.04,453.63,44.77,1.04,16.03,357.8646934460888
2024-01-04,Ashok_Vihar,202.82,377.96,45.08,1.28,4.77,305.8350951374207
2024-01-04,Vivek_vihar,242.01,407.1,34.69,1.38,2.02,347.262156448203
2024-01-05,Patparganj,188.85,339.91,41.51,0.98,13.05,291.0676532769556
2024-01-05,Sonia_Vihar,146.26,256.8,33.39,1.49,10.1,246.04651162790697
2024-01-05,Anand Vihar,218.28,345.98,59.13,2.2,15.25,322.17758985200845
2024-01-05,ITO,112.62,193.48,17.92,1.12,15.9,210.4862579281184
2024-01-05,Ashok_Vihar,157.52,322.79,41.22,1.35,4.97,257.9492600422833
2024-01-05,Vivek_vihar,212.94,329.32,48.07,1.37,4.58,316.53276955602536
2024-01-05,Mandir Marg,171.1,301.54,45.42,0.49,1.09,272.3044397463002
2024-01-06,Ashok_Vihar,169.65,328.15,55.13,1.31,5.68,270.77167019027485
2024-01-06,Patparganj,200.29,360.41,40.04,0.92,13.37,303.16067653276957
2024-01-06,Anand Vihar,223.3,375.88,68.65,3.57,14.94,327.4841437632135
2024-01-06,ITO,114.73,178.58,17.96,0.94,14.82,212.7167019027484
2024-01-06,Mandir Marg,176.08,268.2,46.53,0.87,1.77,277.56871035940804
2024-01-06,Vivek_vihar,226.88,339.74,55.21,1.25,3.88,331.2684989429175
2024-01-07,Patparganj,213.96,385.18,43.86,0.96,19.74,317.6109936575053
2024-01-07,Mandir Marg,176.01,271.45,49.54,0.96,3.04,277.4947145877378
2024-01-07,Vivek_vihar,217.18,331.19,51.9,1.16,6.4,321.014799154334
2024-01-07,Anand Vihar,214.33,357.84,75.71,3.55,17.23,318.00211416490487
2024-01-07,Ashok_Vihar,163.94,320.03,48.74,1.11,6.64,264.73572938689216
2024-01-07,ITO,119.95,192.43,18.45,0.5,31.53,218.23467230443975
2024-01-08,Ashok_Vihar,215.39,453.43,58.82,1.33,5.19,349.43
2024-01-08,Mandir Marg,234.78,407.24,49.22,1.25,1.78,339.6194503171247
2024-01-08,Patparganj,298.84,537.88,51.42,1.3,20.51,433.88
2024-01-08,ITO,175.16,285.76,26.68,1.43,14.46,276.5961945031712
2024-01-08,Vivek_vihar,298.02,489.54,58.98,1.69,4.46,406.46934460887945
2024-01-08,Anand Vihar,331.12,531.56,82.32,4.11,15.23,441.45877378435523
2024-01-09,Vivek_vihar,160.05,253.55,42.86,0.86,3.75,260.6236786469345
2024-01-09,Anand Vihar,184.92,304.13,57.75,3.86,15.32,286.9133192389006
